A2715        3.313  6.157 0.31     0.17 0.65     0.15 m 1.88  2.025 0.52     0.99 3.21  5.29 3.0 2 112 e
A236         0.844  1.404 0.25          0.60          D 2.32  1.254 0.27     0.37 1.98  2.53 2.5 1  58 u
A240         0.290  0.467 0.25          0.60          r 3.09  0.744 0.16     0.23 1.43  1.85 2.5 0  43 s
A2943        0.965  1.620 0.02          0.60          r 0.06 50.644 0.14     0.01 2.21  0.20 1.5 1  64 s
A262         0.579  0.935 0.09     0.03 0.55     0.05 m 0.68  3.469 0.19     0.06 1.43  0.63 3.0 0  40 s
A278         1.077  1.821 0.15     0.10 0.54     0.14 m 1.35  2.268 0.28     0.18 1.99  1.46 3.0 0  38 s
A293         1.201  2.044 0.25          0.60          D 2.11  1.483 0.31     0.44 2.21  2.83 2.0 2  87 u
3CR 66B      0.073  0.121 0.25          0.60          D 3.95  0.386 0.08     0.11 0.94  1.20 0.0 0   0 u
A3021        0.638  1.045 0.09          0.60          r 0.59  4.621 0.18     0.06 1.92  0.81 2.0 0  36 s
A367         1.728  3.021 0.25          0.60          D 1.91  1.762 0.37     0.52 2.49  3.18 3.0 1  57 s
A3041        2.003  3.548 0.27          0.60          r 2.03  1.701 0.41     0.64 2.58  3.62 1.5 1  62 s
A376         1.123  2.095 0.08     0.05 0.46     0.06 m 0.97  3.941 0.27     0.05 2.53  0.93 1.5 0  36 s
S0301        0.146  0.235 0.04     0.02 0.60          d 0.25  7.812 0.07     0.01 1.24  0.22 1.0 0   5 s
A389         2.398  4.318 0.09     0.02 0.60          d 0.45  7.877 0.35     0.12 2.91  1.31 2.0 2  97 s
AWM 7        1.874  3.181 0.06     0.01 0.45     0.04 m 0.43  7.213 0.35     0.04 1.76  0.48 0.0 0   0 e
A397         0.081  0.134 0.25          0.60          D 3.87  0.408 0.09     0.12 0.97  1.23 3.0 0  35 s
A399         4.989  9.718 0.21     0.04 0.52     0.05 m 1.37  3.039 0.62     0.65 3.17  3.28 1.5 1  57 s
A400         0.412  0.667 0.16     0.04 0.57     0.08 m 1.63  1.480 0.18     0.13 1.51  1.19 2.5 1  58 s
A401         9.872 21.600 0.26     0.02 0.65     0.03 m 1.12  4.430 0.86     1.23 5.16  6.84 1.0 2  90 s
A407         0.518  0.845 0.23          0.60          r 2.37  1.109 0.21     0.25 1.73  2.01 2.0 0  46 s
A415         1.110  1.881 0.21     0.07 0.60          d 1.78  1.740 0.29     0.33 2.20  2.38 2.0 1  67 o
A419         0.138  0.223 0.10          0.60          r 1.00  1.887 0.09     0.03 1.21  0.57 0.0 0  32 c
A426        14.948 29.874 0.28     0.05 0.58     0.03 m 1.07  4.050 1.10     1.93 3.59  5.31 2.5 2  88 e
A439         0.367  0.595 0.25          0.60          D 2.85  0.845 0.18     0.25 1.53  1.95 0.0 0  35 u
A3128SW      1.011  1.704 0.25          0.60          D 2.23  1.365 0.29     0.40 2.12  2.71 0.0 0   0 d
A3128NE      0.682  1.122 0.25          0.60          D 2.47  1.132 0.24     0.34 1.87  2.39 0.0 0   0 d
A3158        3.300  6.319 0.24     0.05 0.62     0.06 m 1.56  2.593 0.50     0.66 3.47  4.27 1.5 2  85 e
A458         2.219  3.968 0.25     0.07 0.60          m 1.78  1.987 0.42     0.59 2.70  3.44 1.5 2 114 e
A3186        8.755 18.123 0.41          0.60          r 2.18  2.098 0.87     2.76 3.77  8.71 1.5 1  62 o
A478        18.970 41.506 0.30     0.13 0.76     0.11 m 0.79  6.286 1.16     1.90 5.91  9.25 0.0 2 104 s
A3266        7.728 15.424 0.55     0.08 0.70     0.05 m 2.63  1.651 0.83     3.84 3.60 12.55 1.5 2  91 e
A496         3.188  5.518 0.14     0.07 0.59     0.06 m 0.62  5.283 0.45     0.26 2.46  1.63 1.0 1  50 s
A500         0.925  1.550 0.27          0.60          r 2.46  1.212 0.28     0.43 2.04  2.79 3.0 1  53 e
A501         0.848  1.410 0.25          0.60          D 2.31  1.256 0.27     0.37 1.98  2.53 0.0 1  68 u
3C129        1.723  3.323 0.24     0.07 0.63     0.12 m 2.08  1.973 0.36     0.46 3.64  4.43 0.0 0   0 e
3C130        3.413  6.346 0.25          0.60          D 1.56  2.447 0.52     0.73 3.06  3.91 0.0 0   0 s
A520        11.398 24.388 0.30          0.60          r 1.35  3.560 0.96     1.76 4.41  6.83 3.0 3 186 u
A3322        6.510 12.955 0.25          0.60          D 1.29  3.353 0.71     0.99 3.77  4.82 1.0 1  75 s
A539         0.517  0.848 0.11     0.03 0.60     0.08 m 0.90  3.054 0.17     0.07 1.92  1.00 3.0 1  50 e
A545        10.824 20.727 0.24     0.09 0.64     0.11 m 0.78  5.183 0.89     1.12 3.62  4.32 3.0 4 234 s
A548S        0.743  1.201 0.19     0.07 0.52     0.09 m 1.64  1.431 0.25     0.22 1.32  1.22 0.0 0   0 d
A3376        1.722  3.010 0.46          0.60          r 4.03  0.835 0.39     1.54 2.19  5.86 1.0 0  42 e
A3389        0.328  0.527 0.37          0.60          r 4.30  0.490 0.18     0.49 1.20  2.46 2.5 0  35 c
A3391        2.055  3.868 0.24     0.08 0.57     0.07 m 2.08  1.879 0.40     0.53 3.07  3.73 1.0 0  40 e
A3395SW      1.257  2.293 0.28     0.20 0.52     0.12 m 3.40  1.082 0.32     0.56 2.49  3.55 0.0 0   0 d
A3395NE      1.225  2.235 0.21     0.09 0.49     0.08 m 2.85  1.289 0.31     0.35 2.37  2.52 0.0 0   0 d
ZW 0628.1+25 3.519  7.024 0.12          0.60          d 0.62  6.984 0.44     0.20 3.99  2.24 0.0 0   0 s
A3398        0.466  0.759 0.25          0.60          D 2.71  0.945 0.20     0.28 1.65  2.11 2.0 1  58 u
A566         2.606  4.728 0.25          0.60          D 1.70  2.146 0.45     0.64 2.83  3.62 2.5 2 127 s
ZW 0703.0+42 0.250  0.403 0.25          0.60          D 3.14  0.705 0.15     0.21 1.36  1.74 0.0 0   0 u
A569         0.055  0.091 0.25          0.60          D 4.12  0.333 0.07     0.10 0.86  1.09 2.0 0  36 g
ZW 0712+534  0.537  0.877 0.37          0.60          r 4.27  0.620 0.22     0.59 1.62  3.27 0.0 0   0 s
A576         1.527  2.711 0.12     0.02 0.49     0.04 m 1.22  2.855 0.33     0.15 2.25  1.35 3.0 1  61 s
A586         8.488 17.496 0.25          0.60          D 1.19  3.819 0.81     1.13 4.11  5.25 1.0 3 190 u
A588         0.145  0.235 0.25          0.60          D 3.70  0.511 0.11     0.15 1.15  1.47 3.0 1  78 u
A592         0.857  1.428 0.14     0.02 0.60          d 1.13  2.606 0.24     0.15 2.09  1.49 3.0 1  53 s
A629         0.888  1.481 0.25          0.60          D 2.29  1.284 0.27     0.38 2.02  2.57 3.0 1  78 s
A644         7.549 15.451 0.20     0.02 0.70     0.03 m 0.74  6.038 0.68     0.69 4.81  4.89 3.0 0  42 s
A646         4.020  7.607 0.25          0.60          D 1.49  2.649 0.56     0.78 3.24  4.14 3.0 0  48 s
A665        12.158 22.748 0.53     0.15 0.65     0.09 m 1.87  2.069 1.05     4.75 2.84  9.16 3.0 5 321 o
A671         0.804  1.336 0.18     0.09 0.62     0.09 m 1.48  1.962 0.24     0.21 2.08  1.86 2.5 0  38 s
A690         0.185  0.295 0.19          0.60          r 2.40  0.848 0.12     0.12 1.27  1.23 1.0 1  52 s
A744         0.464  0.755 0.25          0.60          D 2.72  0.942 0.20     0.28 1.66  2.12 2.0 0  42 s
A754         6.891 16.070 0.58     0.06 0.80     0.07 m 3.20  1.689 0.79     3.26 5.90 21.73 1.5 2  92 e
Hydra A      4.804  8.287 0.14     0.02 0.69     0.05 m 0.41  7.868 0.50     0.33 2.83  2.00 0.0 0   0 s
A779         0.072  0.119 0.11          0.60          r 1.40  1.091 0.07     0.03 0.99  0.55 1.5 0  32 g
A795         5.474 10.684 0.25          0.60          D 1.36  3.080 0.65     0.91 3.58  4.57 3.0 3 151 s
A786         1.731  3.025 0.25          0.60          D 1.91  1.763 0.37     0.52 2.49  3.18 0.0 0  45 u
A854         7.552 15.325 0.25          0.60          D 1.23  3.606 0.76     1.07 3.96  5.05 3.0 1  59 u
A882         0.591  0.966 0.25          0.60          D 2.55  1.058 0.22     0.31 1.78  2.27 1.0 0  48 u
A910         4.826  9.294 0.25          0.60          D 1.41  2.896 0.61     0.86 3.43  4.38 2.5 4 222 u
A957         0.591  0.968 0.14     0.10 0.52     0.12 m 1.58  1.720 0.21     0.13 1.63  1.15 1.5 1  55 o
A963        10.645 22.591 0.25          0.60          D 1.11  4.272 0.90     1.27 4.41  5.64 1.5 3 134 u
A970         2.130  3.795 0.25          0.60          D 1.80  1.946 0.41     0.58 2.66  3.40 3.0 1  54 s
A999         0.033  0.055 0.25          0.60          D 4.34  0.245 0.05     0.07 0.73  0.94 2.5 0  33 s
A1060        0.457  0.791 0.12     0.03 0.70     0.10 m 1.04  3.154 0.14     0.08 2.92  1.74 3.0 1  50 s
A1126        0.874  1.460 0.25          0.60          D 2.31  1.274 0.27     0.38 2.02  2.58 1.5 1  55 s
A1142        0.176  0.301 0.19     0.03 0.60          d 4.04  0.786 0.11     0.11 2.32  2.26 2.5 0  35 s
A1146        3.385  6.300 0.25          0.60          D 1.57  2.437 0.52     0.72 3.07  3.92 1.0 4 222 s
A1185        0.271  0.469 0.15     0.10 0.62     0.19 m 2.27  1.445 0.13     0.09 2.55  1.88 2.0 1  52 p
A1209        0.433  0.704 0.25          0.60          D 2.75  0.913 0.19     0.27 1.61  2.06 3.0 1  52 u
A1213        0.161  0.258 0.25          0.60          D 3.46  0.570 0.12     0.17 1.20  1.53 3.0 1  51 s
A1254        1.051  1.774 0.40          0.60          r 3.94  0.775 0.31     0.95 1.95  4.36 3.0 1  58 s
A1272        1.719  3.002 0.25          0.60          D 1.91  1.758 0.37     0.52 2.48  3.17 2.0 2 102 c
A1285        3.980  6.974 0.36          0.60          r 1.96  1.721 0.59     1.46 2.37  4.56 2.5 1  66 s
A1291        0.421  0.684 0.11     0.07 0.72     0.22 m 0.70  3.581 0.13     0.07 2.01  1.12 3.0 1  61 s
A1314        0.462  0.859 0.25     0.04 0.60          d 4.18  0.913 0.19     0.26 3.07  3.87 3.0 0  44 e
A1367        1.296  2.190 0.39     0.13 0.50     0.10 m 4.34  0.707 0.34     1.14 1.65  3.58 2.5 2 117 e
A1377        0.470  0.766 0.29     0.06 0.60          d 3.26  0.793 0.20     0.36 1.64  2.46 3.0 1  59 e
A1382        0.717  1.183 0.25          0.60          D 2.43  1.160 0.25     0.34 1.89  2.42 2.0 1  57 u
A1392        1.019  1.717 0.25          0.60          D 2.22  1.371 0.29     0.41 2.11  2.69 0.0 0  46 u
A1413       10.265 23.646 0.11     0.04 0.60          d 0.42 12.576 0.74     0.32 5.69  3.06 1.0 3 196 s
A1446        1.599  2.778 0.36          0.60          r 3.07  1.079 0.38     0.95 2.29  4.46 2.5 2  85 s
MKW 4        0.264  0.432 0.11          0.60          r 0.73  2.372 0.13     0.05 1.10  0.56 0.0 0   0 s
ZW 1204+225  0.366  0.592 0.25          0.60          D 2.88  0.842 0.18     0.25 1.54  1.97 0.0 0   0 u
MKW 4S       0.156  0.250 0.13          0.60          r 1.53  1.279 0.10     0.06 1.24  0.82 0.0 0   0 s
A1477N       0.436  0.709 0.25          0.60          D 2.75  0.916 0.19     0.27 1.62  2.07 2.0 1  71 d
A1477S       0.472  0.768 0.25          0.60          D 2.70  0.950 0.20     0.28 1.66  2.12 2.0 1  71 d
A1569S       0.921  1.542 0.25          0.60          D 2.28  1.306 0.28     0.39 2.05  2.62 0.0 0  40 c
A1569N       0.315  0.509 0.25          0.60          D 2.98  0.785 0.17     0.23 1.47  1.88 0.0 0  40 c
A1589        1.525  2.641 0.38          0.60          r 3.34  0.985 0.37     1.03 2.23  4.67 2.5 0  38 c
Centaurus    1.645  2.846 0.15     0.03 0.45     0.03 m 1.69  1.939 0.36     0.22 1.86  1.40 0.0 0   0 e
A1631        0.522  0.852 0.71          0.60          r 8.85  0.298 0.22     2.02 1.22  6.25 1.0 0  34 c
A1631E       0.214  0.343 0.25          0.60          D 3.26  0.654 0.14     0.19 1.31  1.67 1.0 0  34 c
A3528N       1.442  2.486 0.25          0.60          D 2.01  1.616 0.34     0.48 2.36  3.01 2.0 1  70 d
A3528S       1.694  2.957 0.25          0.60          D 1.92  1.745 0.37     0.52 2.48  3.17 2.0 1  70 d
A1644SW      2.097  3.826 0.25          0.60          D 1.91  1.924 0.41     0.57 2.88  3.68 0.0 0   0 d
A1644NE      0.774  1.284 0.25          0.60          D 2.39  1.202 0.25     0.36 1.95  2.49 0.0 0   0 d
A3530        0.598  0.979 0.25          0.60          D 2.55  1.063 0.23     0.32 1.79  2.29 1.5 0  34 o
A3532        1.708  2.983 0.28     0.10 0.61     0.10 m 2.49  1.515 0.38     0.64 2.47  3.62 2.5 0  36 s
A1650        6.503 12.453 0.29     0.10 0.78     0.12 m 1.00  4.042 0.67     1.03 4.30  6.46 1.5 2 114 s
A1656        6.798 15.107 0.43          0.67          m 2.23  2.275 0.76     2.10 5.57 13.65 2.0 2 106 e
A1677        6.050 11.934 0.25          0.60          D 1.32  3.235 0.68     0.96 3.69  4.71 2.5 2 112 u
A1689       22.795 55.824 0.12     0.02 0.60          d 0.36 16.081 1.13     0.57 6.48  3.90 2.5 4 228 s
WP 23        0.115  0.196 0.02     0.01 0.61     0.09 m 0.12  6.380 0.06          0.57  0.08 0.0 0   0 s
A1707        1.321  2.262 0.25          0.60          D 2.03  1.587 0.34     0.47 2.31  2.96 2.5 1  61 u
A1709        0.348  0.563 0.35          0.60          r 4.43  0.540 0.18     0.44 1.43  2.71 0.0 0  43 e
A1713        0.281  0.453 0.25          0.60          D 3.05  0.745 0.16     0.22 1.41  1.80 2.5 1  52 u
A1736        1.386  2.511 0.40     0.13 0.73     0.22 m 3.29  1.101 0.35     0.89 3.12  6.96 3.0 0  41 o
MKW 11       0.047  0.078 0.25          0.60          D 4.24  0.306 0.06     0.09 0.82  1.05 0.0 0   0 u
A1750S       2.197  3.925 0.31          0.60          r 2.34  1.507 0.43     0.85 2.61  4.25 0.0 0   0 c
A1750N       1.306  2.238 0.38          0.60          r 3.49  0.915 0.34     0.95 2.12  4.44 0.0 0   0 c
A1750SS      0.352  0.570 0.25          0.60          D 2.90  0.828 0.18     0.25 1.52  1.94 0.0 0   0 c
SC 1329-31   1.390  2.391 0.40          0.60          r 3.65  0.885 0.36     1.08 2.13  4.77 0.0 4  50 s
A3562W       0.680  1.119 0.25          0.60          D 2.47  1.131 0.24     0.33 1.87  2.39 0.0 0   0 d
A1763       10.593 22.107 0.19          0.60          r 0.73  6.307 0.85     0.76 4.34  4.01 3.0 3 152 u
A3565        0.011  0.019 0.03          0.60          r 0.38  2.009 0.02          0.65  0.11 1.0 1  64 g
A1767        2.489  4.362 0.24     0.03 0.70          d 1.20  2.821 0.42     0.53 2.95  3.59 2.0 1  65 s
A1775        2.277  4.208 0.18     0.06 0.68     0.12 m 0.99  3.801 0.37     0.32 3.48  3.08 1.0 2  92 s
A1795        9.253 17.557 0.29     0.10 0.73     0.08 m 0.94  4.238 0.83     1.37 3.87  5.95 1.0 2 115 s
A1809        1.730  3.026 0.21     0.04 0.60          d 1.57  2.149 0.36     0.40 2.54  2.74 2.0 1  78 s
A1837        0.402  0.650 0.32          0.60          r 3.59  0.649 0.19     0.41 1.41  2.39 1.5 1  50 e
A1839        1.146  1.944 0.25          0.60          D 2.14  1.449 0.31     0.43 2.19  2.79 1.0 1  63 s
A1850        0.631  1.033 0.25          0.60          D 2.50  1.091 0.23     0.32 1.81  2.31 2.0 1  57 u
A1852        1.531  2.648 0.25          0.60          D 1.97  1.663 0.35     0.49 2.39  3.05 3.0 1  77 u
PKS 1404-267 0.520  0.848 0.08          0.60          r 0.56  4.698 0.16     0.05 1.82  0.71 0.0 0   0 s
A1890        0.557  0.910 0.27     0.06 0.60          d 2.88  0.928 0.22     0.35 1.74  2.43 1.5 0  37 e
A1913        0.581  0.951 0.57     0.11 0.60          d 6.83  0.396 0.23     1.36 1.44  5.16 3.0 1  53 c
A1918        4.454  8.513 0.18     0.04 0.60          d 0.92  4.374 0.55     0.46 3.45  3.04 1.5 3 142 s
A1924        0.930  1.557 0.29          0.60          r 2.69  1.103 0.28     0.49 2.01  2.99 0.0 2  95 u
A3602        1.787  3.129 0.09          0.60          r 0.50  6.724 0.30     0.11 2.64  1.21 2.5 1  65 s
MKW 7        0.074  0.123 0.25          0.60          D 3.96  0.390 0.08     0.12 0.95  1.21 0.0 0   0 u
A1940        2.052  3.641 0.53     0.09 0.60          d 4.45  0.781 0.43     2.16 2.19  7.07 3.0 3 130 s
A1954        1.333  2.283 0.25          0.60          D 2.05  1.558 0.33     0.46 2.29  2.92 1.0 2 120 u
A1983        0.352  0.570 0.08     0.02 0.60          d 0.63  3.838 0.13     0.04 1.62  0.63 3.0 1  51 s
A1991        1.638  3.119 0.06     0.03 0.56     0.06 m 0.37 10.810 0.27     0.05 3.30  0.93 1.0 1  60 s
A2009       10.465 22.896 0.13          0.60          r 0.49 10.199 0.78     0.42 5.00  3.17 1.5 1  66 s
A2022        0.506  0.826 0.34          0.60          r 3.99  0.657 0.22     0.51 1.62  3.00 3.0 1  50 s
3CR 310      0.375  0.608 0.31          0.60          r 3.77  0.648 0.19     0.37 1.51  2.47 0.0 0   0 s
A2029       16.430 35.949 0.20     0.12 0.69     0.08 m 0.56  8.814 1.01     1.00 5.58  5.57 1.0 2  82 s
A2040        0.344  0.556 0.14     0.03 0.60          d 1.34  1.782 0.15     0.09 1.58  1.08 3.0 1  52 s
A2050        3.517  6.569 0.18          0.60          r 1.01  3.810 0.49     0.43 3.20  2.87 2.5 1  50 s
A2052        1.992  3.287 0.12     0.05 0.66     0.09 m 0.47  6.012 0.32     0.17 2.19  1.31 1.4 0  41 e
A2055        1.084  2.111 0.08          0.60          r 0.64  6.502 0.22     0.06 3.75  1.45 3.0 0  40 s
MKW 3S       2.507  4.112 0.09          0.60          r 0.32  8.624 0.36     0.12 1.94  0.85 0.0 0   0 s
A2063        1.736  3.042 0.17     0.02 0.62     0.05 m 1.11  3.048 0.34     0.28 2.68  2.29 2.0 1  63 p
A2063SW      0.164  0.262 0.25          0.60          D 3.45  0.575 0.12     0.17 1.21  1.54 0.0 0   0 p
A2065        4.906 11.059 0.24     0.07 0.64     0.08 m 1.48  3.485 0.59     0.75 5.57  6.68 3.0 2 109 e
A2079        0.753  1.246 0.39          0.60          r 4.18  0.683 0.26     0.77 1.78  3.84 2.5 1  57 s
MKW 9        0.264  0.425 0.25          0.60          D 3.12  0.722 0.15     0.21 1.40  1.78 0.0 0   0 u
A2089        2.246  4.021 0.25          0.60          D 1.77  1.997 0.42     0.59 2.71  3.46 2.0 1  70 u
A2092        0.380  0.617 0.17          0.60          r 1.71  1.435 0.17     0.13 1.61  1.35 2.5 1  55 s
A2107        1.487  2.623 0.18     0.02 0.60          d 1.35  2.544 0.32     0.27 2.65  2.34 1.0 1  51 s
A2124        1.157  1.967 0.13     0.08 0.51     0.11 m 1.15  2.721 0.29     0.14 1.98  1.21 1.0 1  50 p
A2124a       0.369  0.598 0.25          0.60          D 2.88  0.846 0.18     0.25 1.55  1.98 0.0 0   0 p
A2142       18.763 42.869 0.22          0.60          r 0.79  6.664 1.17     1.36 5.39  6.00 2.0 2  89 s
A2147        1.887  3.365 0.47     0.07 0.60          d 4.10  0.856 0.41     1.65 2.33  6.37 3.0 1  52 e
A2151W       0.616  1.059 0.05     0.03 0.56     0.08 m 0.42  7.679 0.17     0.03 2.32  0.60 0.0 0   0 c
A2151E       0.305  0.492 0.25          0.60          D 3.02  0.773 0.16     0.23 1.46  1.87 0.0 0   0 c
AWM 4        0.525  0.898 0.18          0.60          r 0.68  4.677 0.18     0.02 1.86  0.45 0.0 0   0 s
A2152        0.207  0.331 0.05          0.60          r 0.36  5.889 0.09     0.01 1.37  0.33 3.0 1  60 s
A2163       26.059 69.473 0.25          0.60          D 0.96  6.717 1.42     1.99 7.48  9.55 0.0 2 119 u
ZW 1615+35   0.393  0.643 0.50          0.60          r 7.23  0.373 0.19     0.88 1.51  4.54 0.0 0   0 o
A2197        0.076  0.126 0.12          0.60          r 1.40  1.117 0.07     0.03 1.00  0.56 3.0 1  73 u
A2199        3.305  5.949 0.13     0.03 0.62     0.05 m 0.55  6.523 0.43     0.23 3.01  1.85 1.0 2  88 e
A2210        1.474  2.544 0.25          0.60          D 1.99  1.634 0.35     0.48 2.36  3.01 0.0 1  50 e
A2218        9.332 19.233 0.26     0.10 0.65     0.10 m 1.04  4.381 0.83     1.18 4.44  5.81 2.0 4 214 u
A2220        0.606  0.993 0.43          0.60          r 4.96  0.547 0.24     0.83 1.61  3.96 0.0 0  42 c
Hercules A   4.341  8.274 0.29          0.60          r 1.73  2.316 0.59     1.03 3.26  4.85 0.0 0   0 s
AWM 5        0.386  0.626 0.28          0.60          r 3.33  0.741 0.19     0.32 1.55  2.27 0.0 0   0 c
A2241        0.687  1.131 0.05     0.02 0.60          d 0.27 10.371 0.16     0.03 1.99  0.48 0.0 0  30 s
A2244        3.944  8.326 0.12     0.07 0.57     0.07 m 0.69  6.754 0.49     0.22 4.37  2.49 1.5 2  89 s
A2245        0.494  0.805 0.25          0.60          D 2.68  0.971 0.21     0.29 1.69  2.16 2.0 1  63 s
A2250        0.511  0.834 0.07          0.60          r 0.42  6.176 0.15     0.03 1.81  0.57 3.0 1  52 o
A2255        4.339  9.256 0.58     0.06 0.76     0.06 m 3.73  1.278 0.63     2.77 4.53 16.92 2.5 2 102 e
A2256        7.897 17.027 0.44     0.03 0.73     0.04 m 2.14  2.262 0.83     2.50 4.94 12.62 2.5 2  88 e
A2271        0.587  0.960 0.13     0.10 0.56     0.17 m 1.19  2.274 0.20     0.10 1.76  1.11 1.0 0  35 s
S0805        0.098  0.164 0.16     0.04 0.60          d 1.64  0.838 0.09     0.06 0.89  0.69 1.0 0   8 s
A2312        2.410  4.342 0.11     0.06 0.57     0.07 m 0.64  5.584 0.38     0.16 2.78  1.52 3.0 1  74 s
A2319       13.414 32.569 0.46     0.07 0.69     0.06 m 2.14  2.657 1.08     3.66 6.12 16.42 2.5 1  68 o
A3654        1.306  2.236 0.25          0.60          D 2.06  1.542 0.33     0.46 2.28  2.91 2.5 2 110 s
CYG A        8.649 15.153 0.18          0.60          r 0.58  5.874 0.79     0.70 2.58  2.37 0.0 0   0 o
A3667        7.180 14.611 0.25     0.03 0.51     0.03 m 1.62  2.750 0.76     1.11 3.39  4.32 1.5 2  85 e
A2328        4.112  7.797 0.22          0.60          r 1.25  3.170 0.55     0.64 3.31  3.66 0.0 2  81 s
SC 2059-247  8.738 18.350 0.25          0.60          D 1.20  3.872 0.82     1.15 4.29  5.48 0.0 0   0 u
A2356        1.802  3.159 0.25          0.60          D 1.88  1.797 0.38     0.53 2.52  3.22 2.5 2  89 s
A2366        0.186  0.298 0.26          0.60          r 3.54  0.580 0.13     0.19 1.25  1.67 1.5 0  47 s
A2381        0.492  0.801 0.25          0.60          D 2.67  0.969 0.21     0.29 1.67  2.14 1.0 1  67 u
A2384SS      0.864  1.441 0.25          0.60          D 2.32  1.267 0.27     0.38 2.01  2.57 2.5 1  61 c
A2384S       1.454  2.508 0.25          0.60          D 2.01  1.623 0.34     0.48 2.36  3.02 0.0 0   0 c
A2384N       2.873  5.264 0.25          0.60          D 1.65  2.250 0.48     0.67 2.92  3.73 0.0 0   0 c
A2390       33.822 83.877 0.25          0.60          D 0.82  7.140 1.51     2.12 6.40  8.18 0.0 1  72 u
A2415        1.348  2.315 0.18     0.06 0.60          d 1.32  2.431 0.31     0.26 2.38  2.11 3.0 0  40 s
A2420        4.654  9.168 0.36     0.10 0.79     0.14 m 1.66  2.555 0.60     1.22 4.56  8.90 1.0 2  88 s
A2424        1.154  1.958 0.25          0.60          D 2.14  1.454 0.31     0.43 2.19  2.79 0.0 1  56 u
A2440        3.059  5.639 0.20          0.60          r 1.22  3.088 0.47     0.47 3.04  3.06 2.0 0  32 e
A3880        0.683  1.124 0.05     0.01 0.60          d 0.24 11.464 0.16     0.02 1.99  0.45 2.0 0  31 s
3CR 449      0.086  0.142 0.12          0.60          r 1.44  1.124 0.08     0.04 1.03  0.60 0.0 0   0 s
A3888       14.298 31.453 0.19          0.60          r 0.68  7.287 0.99     0.89 4.98  4.61 1.5 2 107 s
A2521        1.735  3.032 0.25          0.60          D 1.90  1.765 0.37     0.52 2.49  3.18 1.0 2 103 u
A2540        0.506  0.826 0.25          0.60          D 2.65  0.983 0.21     0.29 1.70  2.17 2.0 1  70 u
A2550        1.367  2.347 0.25          0.60          D 2.04  1.576 0.33     0.47 2.31  2.95 2.5 2 122 s
A2554        1.784  3.127 0.25          0.60          D 1.89  1.789 0.38     0.53 2.52  3.21 2.0 3 159 s
A2556        2.820  5.158 0.06          0.60          r 0.26 14.354 0.34     0.07 3.08  0.96 2.5 1  67 s
